candidate_rank,admin_code,admin_name,river_name,width_class,width_proxy_m,area_m2,perimeter_m,source_record_count,latest_notice_date,center_lon,center_lat
1,43150,제천시,방도교천,wide,62.74,303497.5,9675.15,1,20181214,128.0122921,37.1663373
2,43730,옥천군,삼남천,medium,15.47,64249.6,8308.49,1,,127.7383455,36.291029
3,43720,보은군,어둔이골천,narrow,7.84,28433.17,7249.52,1,20180809,127.7278784,36.5139619
4,43770,음성군,주천천,wide,31.23,220562.83,14124.63,2,20190705,127.6447259,37.0635912
5,43110,청주시,산막천,medium,14.79,59536.62,8049.46,1,,127.3998191,36.5555458
6,43740,영동군,자계천,wide,19.87,172804.59,17397.57,1,20190826,127.7463927,36.0528698
7,43130,충주시,고든골천,medium,12.5,16114.32,2577.46,1,20211118,127.9589073,36.9444232
8,43800,단양군,당동천,narrow,6.24,6939.47,2223.55,1,20221223,128.3688335,36.9222812
9,43770,음성군,오신천,wide,29.28,217449.37,14851.61,1,20190705,127.6325986,37.0159927
10,43150,제천시,다락골천,medium,14.61,79508.84,10882.1,1,20181214,128.1333832,37.0531078
